TF2_std,TF3_rms,TF4_fator_forma,FF2_freq_central,FF3_rms_freq,FF5_assimetria_espectral,FF_pico_50_200Hz,tipo_falha_adicionada,rpm,multiplicador_amplitude,fase_adicionada_rad,base_normal
0.06546629044174894,0.06664049688060723,1.2416179415787398,1098.0407806440828,1513.7950123067494,1.7379872112735488,90.8203125,Pista Externa,1730,1,0.0,1730_Normal_DE_treino_seg_0
0.06546624412222825,0.06664045137723766,1.2416146926368994,1098.0255719023792,1513.7602007413343,1.7378627773155595,90.8203125,Pista Externa,1730,1,1.5707963267948966,1730_Normal_DE_treino_seg_0
0.06546634479006044,0.06664055027130154,1.2416153142025625,1098.0478725575479,1513.788170436989,1.737803935498654,90.8203125,Pista Externa,1730,1,3.141592653589793,1730_Normal_DE_treino_seg_0
0.06546630765185628,0.06664051378747232,1.2416128354000315,1098.0400032909172,1513.7866159062253,1.7378734034238372,90.8203125,Pista Externa,1730,1,4.71238898038469,1730_Normal_DE_treino_seg_0
0.06546623092270809,0.06664074898274196,1.2416181555431962,1098.010999298058,1513.814648941284,1.738644741023359,90.8203125,Pista Externa,1730,5,0.0,1730_Normal_DE_treino_seg_0
0.06546599932456629,0.0666405214664441,1.2416028459275332,1097.9358252380205,1513.6462595327587,1.7380658479194477,90.8203125,Pista Externa,1730,5,1.5707963267948966,1730_Normal_DE_treino_seg_0
0.06546650266406145,0.06664101593477584,1.2416059537319175,1098.0559441562843,1513.8009937406434,1.7377752331732157,90.8203125,Pista Externa,1730,5,3.141592653589793,1730_Normal_DE_treino_seg_0
0.06546631697327768,0.06664083351670466,1.2415935600589754,1098.0110074534305,1513.785246917768,1.7381375147363247,90.8203125,Pista Externa,1730,5,4.71238898038469,1730_Normal_DE_treino_seg_0
0.06546621324124695,0.0666411198847997,1.241614983076244,1098.0511392949927,1513.9660540014333,1.739432879082301,90.8203125,Pista Externa,1730,10,0.0,1730_Normal_DE_treino_seg_0
0.06546575004401892,0.0666406648539598,1.2415890770623028,1097.9056604130728,1513.648393131104,1.738382343605504,90.8203125,Pista Externa,1730,10,1.5707963267948966,1730_Normal_DE_treino_seg_0
0.0654667567229725,0.06664165378482663,1.241594945802506,1098.1470945935885,1513.9551502091008,1.737756915458423,90.8203125,Pista Externa,1730,10,3.141592653589793,1730_Normal_DE_treino_seg_0
0.0654663853423195,0.06664128895167692,1.2415693226354985,1098.0642747161194,1513.9410155035248,1.738530035381169,90.8203125,Pista Externa,1730,10,4.71238898038469,1730_Normal_DE_treino_seg_0
0.06546553843651232,0.06664085708348073,1.2416393131111043,1098.0574970243752,1513.9004272746488,1.738775305872055,90.8203125,Pista Interna,1730,1,0.0,1730_Normal_DE_treino_seg_0
0.06546858776766641,0.06664385263721682,1.241584594562813,1098.605927074102,1514.7289291053658,1.737450690750038,90.8203125,Pista Interna,1730,1,1.5707963267948966,1730_Normal_DE_treino_seg_0
0.06546771053067697,0.0666429908705105,1.2415793261712573,1098.4525542970737,1514.440023299319,1.7372705016373267,90.8203125,Pista Interna,1730,1,3.141592653589793,1730_Normal_DE_treino_seg_0
0.06546449743919372,0.06663983444610765,1.2416856108470884,1098.3829654828803,1514.2891352872448,1.7371649614001095,90.8203125,Pista Interna,1730,1,4.71238898038469,1730_Normal_DE_treino_seg_0
0.06546626301114208,0.06664628094650812,1.241686059437365,1102.9309795709887,1522.016031158663,1.7380460395043895,90.8203125,Pista Interna,1730,5,0.0,1730_Normal_DE_treino_seg_0
0.06548150807819617,0.06666125615041868,1.241467265524928,1105.1533212952545,1525.4073661026694,1.7326220320125731,90.8203125,Pista Interna,1730,5,1.5707963267948966,1730_Normal_DE_treino_seg_0
0.06547712264122664,0.06665694833047112,1.2414814848778448,1104.4120997657967,1524.1937927537201,1.7338784597128836,90.8203125,Pista Interna,1730,5,3.141592653589793,1730_Normal_DE_treino_seg_0
