rpm,fault_type,fault_diameter,K,phase,is_synthetic
1730,Normal,0.0,0.0,0.0,False
1730,Inner,0.178,1.0,0.0,True
1730,Inner,0.178,1.0,1.5707963267948966,True
1730,Inner,0.178,1.0,3.141592653589793,True
1730,Inner,0.178,1.0,4.71238898038469,True
1730,Inner,0.178,5.0,0.0,True
1730,Inner,0.178,5.0,1.5707963267948966,True
1730,Inner,0.178,5.0,3.141592653589793,True
1730,Inner,0.178,5.0,4.71238898038469,True
1730,Inner,0.178,10.0,0.0,True
1730,Inner,0.178,10.0,1.5707963267948966,True
1730,Inner,0.178,10.0,3.141592653589793,True
1730,Inner,0.178,10.0,4.71238898038469,True
1730,Inner,0.178,50.0,0.0,True
1730,Inner,0.178,50.0,1.5707963267948966,True
1730,Inner,0.178,50.0,3.141592653589793,True
1730,Inner,0.178,50.0,4.71238898038469,True
1730,Inner,0.356,1.0,0.0,True
1730,Inner,0.356,1.0,1.5707963267948966,True
1730,Inner,0.356,1.0,3.141592653589793,True
1730,Inner,0.356,1.0,4.71238898038469,True
1730,Inner,0.356,5.0,0.0,True
1730,Inner,0.356,5.0,1.5707963267948966,True
1730,Inner,0.356,5.0,3.141592653589793,True
1730,Inner,0.356,5.0,4.71238898038469,True
1730,Inner,0.356,10.0,0.0,True
1730,Inner,0.356,10.0,1.5707963267948966,True
1730,Inner,0.356,10.0,3.141592653589793,True
1730,Inner,0.356,10.0,4.71238898038469,True
1730,Inner,0.356,50.0,0.0,True
1730,Inner,0.356,50.0,1.5707963267948966,True
1730,Inner,0.356,50.0,3.141592653589793,True
1730,Inner,0.356,50.0,4.71238898038469,True
1730,Inner,0.533,1.0,0.0,True
1730,Inner,0.533,1.0,1.5707963267948966,True
1730,Inner,0.533,1.0,3.141592653589793,True
1730,Inner,0.533,1.0,4.71238898038469,True
1730,Inner,0.533,5.0,0.0,True
1730,Inner,0.533,5.0,1.5707963267948966,True
1730,Inner,0.533,5.0,3.141592653589793,True
1730,Inner,0.533,5.0,4.71238898038469,True
1730,Inner,0.533,10.0,0.0,True
1730,Inner,0.533,10.0,1.5707963267948966,True
1730,Inner,0.533,10.0,3.141592653589793,True
1730,Inner,0.533,10.0,4.71238898038469,True
1730,Inner,0.533,50.0,0.0,True
1730,Inner,0.533,50.0,1.5707963267948966,True
1730,Inner,0.533,50.0,3.141592653589793,True
1730,Inner,0.533,50.0,4.71238898038469,True
1730,Inner,0.711,1.0,0.0,True
1730,Inner,0.711,1.0,1.5707963267948966,True
1730,Inner,0.711,1.0,3.141592653589793,True
1730,Inner,0.711,1.0,4.71238898038469,True
1730,Inner,0.711,5.0,0.0,True
1730,Inner,0.711,5.0,1.5707963267948966,True
1730,Inner,0.711,5.0,3.141592653589793,True
1730,Inner,0.711,5.0,4.71238898038469,True
1730,Inner,0.711,10.0,0.0,True
1730,Inner,0.711,10.0,1.5707963267948966,True
1730,Inner,0.711,10.0,3.141592653589793,True
1730,Inner,0.711,10.0,4.71238898038469,True
1730,Inner,0.711,50.0,0.0,True
1730,Inner,0.711,50.0,1.5707963267948966,True
1730,Inner,0.711,50.0,3.141592653589793,True
1730,Inner,0.711,50.0,4.71238898038469,True
1730,Inner,1.016,1.0,0.0,True
1730,Inner,1.016,1.0,1.5707963267948966,True
1730,Inner,1.016,1.0,3.141592653589793,True
1730,Inner,1.016,1.0,4.71238898038469,True
1730,Inner,1.016,5.0,0.0,True
1730,Inner,1.016,5.0,1.5707963267948966,True
1730,Inner,1.016,5.0,3.141592653589793,True
1730,Inner,1.016,5.0,4.71238898038469,True
1730,Inner,1.016,10.0,0.0,True
1730,Inner,1.016,10.0,1.5707963267948966,True
1730,Inner,1.016,10.0,3.141592653589793,True
1730,Inner,1.016,10.0,4.71238898038469,True
1730,Inner,1.016,50.0,0.0,True
1730,Inner,1.016,50.0,1.5707963267948966,True
1730,Inner,1.016,50.0,3.141592653589793,True
1730,Inner,1.016,50.0,4.71238898038469,True
1730,Outer,0.178,1.0,0.0,True
1730,Outer,0.178,1.0,1.5707963267948966,True
1730,Outer,0.178,1.0,3.141592653589793,True
1730,Outer,0.178,1.0,4.71238898038469,True
1730,Outer,0.178,5.0,0.0,True
1730,Outer,0.178,5.0,1.5707963267948966,True
1730,Outer,0.178,5.0,3.141592653589793,True
1730,Outer,0.178,5.0,4.71238898038469,True
1730,Outer,0.178,10.0,0.0,True
1730,Outer,0.178,10.0,1.5707963267948966,True
1730,Outer,0.178,10.0,3.141592653589793,True
1730,Outer,0.178,10.0,4.71238898038469,True
1730,Outer,0.178,50.0,0.0,True
1730,Outer,0.178,50.0,1.5707963267948966,True
1730,Outer,0.178,50.0,3.141592653589793,True
1730,Outer,0.178,50.0,4.71238898038469,True
1730,Outer,0.356,1.0,0.0,True
1730,Outer,0.356,1.0,1.5707963267948966,True
1730,Outer,0.356,1.0,3.141592653589793,True
1730,Outer,0.356,1.0,4.71238898038469,True
1730,Outer,0.356,5.0,0.0,True
1730,Outer,0.356,5.0,1.5707963267948966,True
1730,Outer,0.356,5.0,3.141592653589793,True
1730,Outer,0.356,5.0,4.71238898038469,True
1730,Outer,0.356,10.0,0.0,True
1730,Outer,0.356,10.0,1.5707963267948966,True
1730,Outer,0.356,10.0,3.141592653589793,True
1730,Outer,0.356,10.0,4.71238898038469,True
1730,Outer,0.356,50.0,0.0,True
1730,Outer,0.356,50.0,1.5707963267948966,True
1730,Outer,0.356,50.0,3.141592653589793,True
1730,Outer,0.356,50.0,4.71238898038469,True
1730,Outer,0.533,1.0,0.0,True
1730,Outer,0.533,1.0,1.5707963267948966,True
1730,Outer,0.533,1.0,3.141592653589793,True
1730,Outer,0.533,1.0,4.71238898038469,True
1730,Outer,0.533,5.0,0.0,True
1730,Outer,0.533,5.0,1.5707963267948966,True
1730,Outer,0.533,5.0,3.141592653589793,True
1730,Outer,0.533,5.0,4.71238898038469,True
1730,Outer,0.533,10.0,0.0,True
1730,Outer,0.533,10.0,1.5707963267948966,True
1730,Outer,0.533,10.0,3.141592653589793,True
1730,Outer,0.533,10.0,4.71238898038469,True
1730,Outer,0.533,50.0,0.0,True
1730,Outer,0.533,50.0,1.5707963267948966,True
1730,Outer,0.533,50.0,3.141592653589793,True
1730,Outer,0.533,50.0,4.71238898038469,True
1730,Outer,0.711,1.0,0.0,True
1730,Outer,0.711,1.0,1.5707963267948966,True
1730,Outer,0.711,1.0,3.141592653589793,True
1730,Outer,0.711,1.0,4.71238898038469,True
1730,Outer,0.711,5.0,0.0,True
1730,Outer,0.711,5.0,1.5707963267948966,True
1730,Outer,0.711,5.0,3.141592653589793,True
1730,Outer,0.711,5.0,4.71238898038469,True
1730,Outer,0.711,10.0,0.0,True
1730,Outer,0.711,10.0,1.5707963267948966,True
1730,Outer,0.711,10.0,3.141592653589793,True
1730,Outer,0.711,10.0,4.71238898038469,True
1730,Outer,0.711,50.0,0.0,True
1730,Outer,0.711,50.0,1.5707963267948966,True
1730,Outer,0.711,50.0,3.141592653589793,True
1730,Outer,0.711,50.0,4.71238898038469,True
1730,Outer,1.016,1.0,0.0,True
1730,Outer,1.016,1.0,1.5707963267948966,True
1730,Outer,1.016,1.0,3.141592653589793,True
1730,Outer,1.016,1.0,4.71238898038469,True
1730,Outer,1.016,5.0,0.0,True
1730,Outer,1.016,5.0,1.5707963267948966,True
1730,Outer,1.016,5.0,3.141592653589793,True
1730,Outer,1.016,5.0,4.71238898038469,True
1730,Outer,1.016,10.0,0.0,True
1730,Outer,1.016,10.0,1.5707963267948966,True
1730,Outer,1.016,10.0,3.141592653589793,True
1730,Outer,1.016,10.0,4.71238898038469,True
1730,Outer,1.016,50.0,0.0,True
1730,Outer,1.016,50.0,1.5707963267948966,True
1730,Outer,1.016,50.0,3.141592653589793,True
1730,Outer,1.016,50.0,4.71238898038469,True
1730,Ball,0.178,1.0,0.0,True
1730,Ball,0.178,1.0,1.5707963267948966,True
1730,Ball,0.178,1.0,3.141592653589793,True
1730,Ball,0.178,1.0,4.71238898038469,True
1730,Ball,0.178,5.0,0.0,True
1730,Ball,0.178,5.0,1.5707963267948966,True
1730,Ball,0.178,5.0,3.141592653589793,True
1730,Ball,0.178,5.0,4.71238898038469,True
1730,Ball,0.178,10.0,0.0,True
1730,Ball,0.178,10.0,1.5707963267948966,True
1730,Ball,0.178,10.0,3.141592653589793,True
1730,Ball,0.178,10.0,4.71238898038469,True
1730,Ball,0.178,50.0,0.0,True
1730,Ball,0.178,50.0,1.5707963267948966,True
1730,Ball,0.178,50.0,3.141592653589793,True
1730,Ball,0.178,50.0,4.71238898038469,True
1730,Ball,0.356,1.0,0.0,True
1730,Ball,0.356,1.0,1.5707963267948966,True
1730,Ball,0.356,1.0,3.141592653589793,True
1730,Ball,0.356,1.0,4.71238898038469,True
1730,Ball,0.356,5.0,0.0,True
1730,Ball,0.356,5.0,1.5707963267948966,True
1730,Ball,0.356,5.0,3.141592653589793,True
1730,Ball,0.356,5.0,4.71238898038469,True
1730,Ball,0.356,10.0,0.0,True
1730,Ball,0.356,10.0,1.5707963267948966,True
1730,Ball,0.356,10.0,3.141592653589793,True
1730,Ball,0.356,10.0,4.71238898038469,True
1730,Ball,0.356,50.0,0.0,True
1730,Ball,0.356,50.0,1.5707963267948966,True
1730,Ball,0.356,50.0,3.141592653589793,True
1730,Ball,0.356,50.0,4.71238898038469,True
1730,Ball,0.533,1.0,0.0,True
