rpm,fault_type,K,phase,is_synthetic,base_signal_idx
1730,Normal,0.0,0.0,False,0
1730,Inner,1.0,0.0,True,1
1730,Inner,1.0,1.5707963267948966,True,2
1730,Inner,1.0,3.141592653589793,True,3
1730,Inner,1.0,4.71238898038469,True,4
1730,Inner,5.0,0.0,True,5
1730,Inner,5.0,1.5707963267948966,True,6
1730,Inner,5.0,3.141592653589793,True,7
1730,Inner,5.0,4.71238898038469,True,8
1730,Inner,10.0,0.0,True,9
1730,Inner,10.0,1.5707963267948966,True,10
1730,Inner,10.0,3.141592653589793,True,11
1730,Inner,10.0,4.71238898038469,True,12
1730,Inner,50.0,0.0,True,13
1730,Inner,50.0,1.5707963267948966,True,14
1730,Inner,50.0,3.141592653589793,True,15
1730,Inner,50.0,4.71238898038469,True,16
1730,Outer,1.0,0.0,True,17
1730,Outer,1.0,1.5707963267948966,True,18
1730,Outer,1.0,3.141592653589793,True,19
1730,Outer,1.0,4.71238898038469,True,20
1730,Outer,5.0,0.0,True,21
1730,Outer,5.0,1.5707963267948966,True,22
1730,Outer,5.0,3.141592653589793,True,23
1730,Outer,5.0,4.71238898038469,True,24
1730,Outer,10.0,0.0,True,25
1730,Outer,10.0,1.5707963267948966,True,26
1730,Outer,10.0,3.141592653589793,True,27
1730,Outer,10.0,4.71238898038469,True,28
1730,Outer,50.0,0.0,True,29
1730,Outer,50.0,1.5707963267948966,True,30
1730,Outer,50.0,3.141592653589793,True,31
1730,Outer,50.0,4.71238898038469,True,32
1730,Ball,1.0,0.0,True,33
1730,Ball,1.0,1.5707963267948966,True,34
1730,Ball,1.0,3.141592653589793,True,35
1730,Ball,1.0,4.71238898038469,True,36
1730,Ball,5.0,0.0,True,37
1730,Ball,5.0,1.5707963267948966,True,38
1730,Ball,5.0,3.141592653589793,True,39
1730,Ball,5.0,4.71238898038469,True,40
1730,Ball,10.0,0.0,True,41
1730,Ball,10.0,1.5707963267948966,True,42
1730,Ball,10.0,3.141592653589793,True,43
1730,Ball,10.0,4.71238898038469,True,44
1730,Ball,50.0,0.0,True,45
1730,Ball,50.0,1.5707963267948966,True,46
1730,Ball,50.0,3.141592653589793,True,47
1730,Ball,50.0,4.71238898038469,True,48
1730,Normal,0.0,0.0,False,49
1730,Inner,1.0,0.0,True,50
1730,Inner,1.0,1.5707963267948966,True,51
1730,Inner,1.0,3.141592653589793,True,52
1730,Inner,1.0,4.71238898038469,True,53
1730,Inner,5.0,0.0,True,54
1730,Inner,5.0,1.5707963267948966,True,55
1730,Inner,5.0,3.141592653589793,True,56
1730,Inner,5.0,4.71238898038469,True,57
1730,Inner,10.0,0.0,True,58
1730,Inner,10.0,1.5707963267948966,True,59
1730,Inner,10.0,3.141592653589793,True,60
1730,Inner,10.0,4.71238898038469,True,61
1730,Inner,50.0,0.0,True,62
1730,Inner,50.0,1.5707963267948966,True,63
1730,Inner,50.0,3.141592653589793,True,64
1730,Inner,50.0,4.71238898038469,True,65
1730,Outer,1.0,0.0,True,66
1730,Outer,1.0,1.5707963267948966,True,67
1730,Outer,1.0,3.141592653589793,True,68
1730,Outer,1.0,4.71238898038469,True,69
1730,Outer,5.0,0.0,True,70
1730,Outer,5.0,1.5707963267948966,True,71
1730,Outer,5.0,3.141592653589793,True,72
1730,Outer,5.0,4.71238898038469,True,73
1730,Outer,10.0,0.0,True,74
1730,Outer,10.0,1.5707963267948966,True,75
1730,Outer,10.0,3.141592653589793,True,76
1730,Outer,10.0,4.71238898038469,True,77
1730,Outer,50.0,0.0,True,78
1730,Outer,50.0,1.5707963267948966,True,79
1730,Outer,50.0,3.141592653589793,True,80
1730,Outer,50.0,4.71238898038469,True,81
1730,Ball,1.0,0.0,True,82
1730,Ball,1.0,1.5707963267948966,True,83
1730,Ball,1.0,3.141592653589793,True,84
1730,Ball,1.0,4.71238898038469,True,85
1730,Ball,5.0,0.0,True,86
1730,Ball,5.0,1.5707963267948966,True,87
1730,Ball,5.0,3.141592653589793,True,88
1730,Ball,5.0,4.71238898038469,True,89
